bg,bg_num,compliant,fg,fg_num,ratio
#CD6CD0,13462736,False,#DE8320,14582560,1.1
#CD6CD0,13462736,False,#D55360,13980512,1.27
#CD6CD0,13462736,False,#315880,3233920,2.34
#CD6CD0,13462736,False,#F409A0,15993248,1.23
#CD6CD0,13462736,False,#57A310,5743376,1.0
#CD6CD0,13462736,True,#1F1330,2036528,5.57
#CD6CD0,13462736,False,#1CD190,1888656,1.58
#CD6CD0,13462736,False,#8D5AF0,9263856,1.37
#CD6CD0,13462736,False,#04FC70,326768,2.27
#CD6CD0,13462736,False,#8BC760,9160544,1.56
#CD6CD0,13462736,False,#5E40D0,6176976,2.13
#CD6CD0,13462736,False,#A76490,10970256,1.36
#CD6CD0,13462736,False,#D9B500,14267648,1.58
#CD6CD0,13462736,False,#9DEC20,10349600,2.17
#CD6CD0,13462736,False,#337DB0,3374512,1.41
#CD6CD0,13462736,False,#D92EB0,14233264,1.33
#CD6CD0,13462736,False,#42A940,4368704,1.04
#CD6CD0,13462736,False,#0C4D60,806240,2.96
#CD6CD0,13462736,False,#902C90,9448592,2.25
#CD6CD0,13462736,False,#541980,5511552,3.63
#CD6CD0,13462736,False,#9DFBC0,10353600,2.55
#CD6CD0,13462736,False,#EC6600,15492608,1.02
#CD6CD0,13462736,False,#F8F1F0,16314864,2.83
#CD6CD0,13462736,False,#570840,5703744,4.39
#CD6CD0,13462736,False,#E179E0,14776800,1.2
#CD6CD0,13462736,False,#9F8BA0,10455968,1.0
#CD6CD0,13462736,False,#712B50,7416656,3.07
#CD6CD0,13462736,False,#EAE090,15392912,2.33
#CD6CD0,13462736,False,#F68E80,16158336,1.36
#CD6CD0,13462736,False,#BCF520,12383520,2.43
#CD6CD0,13462736,False,#E39010,14913552,1.24
#CD6CD0,13462736,False,#50F6A0,5306016,2.25
#CD6CD0,13462736,False,#164210,1458704,3.65
#CD6CD0,13462736,False,#23AEB0,2338480,1.16
#CD6CD0,13462736,False,#0B45C0,738752,2.53
#CD6CD0,13462736,False,#7A4690,8013456,2.14
#CD6CD0,13462736,False,#739940,7575872,1.04
#CD6CD0,13462736,False,#D430B0,13906096,1.37
#CD6CD0,13462736,False,#5928B0,5843120,2.82
#CD6CD0,13462736,False,#DEF280,14611072,2.57
#CD6CD0,13462736,False,#29B3E0,2733024,1.29
#CD6CD0,13462736,False,#7200E0,7471328,2.38
#CD6CD0,13462736,False,#C8DFE0,13164512,2.26
#CD6CD0,13462736,False,#C41360,12850016,1.84
#CD6CD0,13462736,False,#84C230,8700464,1.46
#CD6CD0,13462736,False,#9BD310,10212112,1.76
#CD6CD0,13462736,False,#B4BAC0,11844288,1.61
#CD6CD0,13462736,False,#BCA2E0,12362464,1.41
#CD6CD0,13462736,False,#C80510,13108496,1.9
#CD6CD0,13462736,False,#8555E0,8738272,1.52
#CD6CD0,13462736,False,#FB31E0,16462304,1.0
#CD6CD0,13462736,False,#70A9C0,7383488,1.22
#CD6CD0,13462736,False,#890670,8980080,2.86
#CD6CD0,13462736,False,#E0C310,14730000,1.8
#CD6CD0,13462736,False,#C25010,12734480,1.49
#CD6CD0,13462736,True,#081370,529264,4.97
#CD6CD0,13462736,False,#2EFA40,3078720,2.23
#CD6CD0,13462736,False,#333D30,3358000,3.59
#CD6CD0,13462736,False,#263FC0,2506688,2.6
#CD6CD0,13462736,False,#4A96C0,4888256,1.03
#CD6CD0,13462736,False,#3FC140,4178240,1.34
#CD6CD0,13462736,False,#9543A0,9782176,1.85
#CD6CD0,13462736,False,#A96760,11102048,1.38
#CD6CD0,13462736,False,#E7A960,15182176,1.53
#CD6CD0,13462736,False,#2E16A0,3020448,3.82
#CD6CD0,13462736,False,#53BFC0,5488576,1.44
#CD6CD0,13462736,False,#BF5F20,12541728,1.36
#CD6CD0,13462736,False,#00A160,41312,1.06
#CD6CD0,13462736,False,#E96540,15295808,1.03
#CD6CD0,13462736,False,#3793F0,3642352,1.0
#CD6CD0,13462736,False,#E51A10,15014416,1.48
#CD6CD0,13462736,False,#FDE820,16640032,2.51
#CD6CD0,13462736,False,#9326D0,9643728,1.94
#CD6CD0,13462736,False,#9D72E0,10318560,1.12
#CD6CD0,13462736,False,#D80DD0,14159312,1.36
#CD6CD0,13462736,False,#8CF780,9238400,2.36
#CD6CD0,13462736,False,#4AC3F0,4899824,1.55
#CD6CD0,13462736,False,#9AEA80,10152576,2.17
#CD6CD0,13462736,False,#E26600,14837248,1.08
#CD6CD0,13462736,False,#B3D6C0,11785920,1.99
#CD6CD0,13462736,False,#416090,4284560,2.01
#CD6CD0,13462736,False,#9DDF60,10346336,1.97
#CD6CD0,13462736,False,#8A36D0,9058000,1.89
#CD6CD0,13462736,False,#84B580,8697216,1.33
#CD6CD0,13462736,False,#332C00,3353600,4.43
#CD6CD0,13462736,False,#60ADC0,6335936,1.23
#CD6CD0,13462736,False,#295320,2708256,2.82
#CD6CD0,13462736,True,#091150,594256,5.5
#CD6CD0,13462736,False,#1F8860,2066528,1.4
#CD6CD0,13462736,False,#F1D2F0,15848176,2.28
#CD6CD0,13462736,False,#B06230,11559472,1.43
#CD6CD0,13462736,False,#CB8170,13336944,1.03
#CD6CD0,13462736,False,#3D6250,4022864,2.17
#CD6CD0,13462736,False,#873100,8859904,2.69
#CD6CD0,13462736,False,#40D850,4249680,1.67
#CD6CD0,13462736,False,#D106E0,13698784,1.38
#CD6CD0,13462736,False,#E64A90,15092368,1.15
#CD6CD0,13462736,False,#628BB0,6458288,1.13
#CD6CD0,13462736,False,#E95B80,15293312,1.06
#CD6CD0,13462736,False,#7F4300,8340224,2.45
#CD6CD0,13462736,False,#E9F0A0,15331488,2.62
#CD6CD0,13462736,False,#E6F620,15136288,2.64
#CD6CD0,13462736,False,#4D5F30,5070640,2.22
#CD6CD0,13462736,False,#A46750,10774352,1.43
#CD6CD0,13462736,False,#302DD0,3157456,2.75
#CD6CD0,13462736,True,#371450,3609680,4.82
#CD6CD0,13462736,False,#364BC0,3558336,2.27
#CD6CD0,13462736,False,#E7F8B0,15202480,2.77
#CD6CD0,13462736,False,#669220,6722080,1.16
#CD6CD0,13462736,False,#819B70,8493936,1.03
#CD6CD0,13462736,False,#3B5470,3888240,2.47
#CD6CD0,13462736,False,#B4ED10,11857168,2.26
#CD6CD0,13462736,False,#493060,4796512,3.54
#CD6CD0,13462736,False,#7E8950,8292688,1.19
#CD6CD0,13462736,False,#1E9320,2003744,1.26
#CD6CD0,13462736,False,#1A3DA0,1719712,2.99
#CD6CD0,13462736,False,#DC62F0,14443248,1.05
#CD6CD0,13462736,False,#DBA3D0,14394320,1.52
#CD6CD0,13462736,False,#BE35C0,12465600,1.49
#CD6CD0,13462736,False,#F63410,16135184,1.22
#CD6CD0,13462736,False,#D17A00,13728256,1.02
#CD6CD0,13462736,False,#87EA10,8907280,2.07
#CD6CD0,13462736,False,#A55720,10835744,1.66
#CD6CD0,13462736,False,#51FE90,5373584,2.39
#CD6CD0,13462736,False,#AE4CD0,11422928,1.4
#CD6CD0,13462736,False,#705640,7362112,2.14
#CD6CD0,13462736,False,#1AE910,1763600,1.91
#CD6CD0,13462736,False,#0FAC60,1027168,1.06
#CD6CD0,13462736,False,#513510,5322000,3.56
#CD6CD0,13462736,False,#260BB0,2493360,3.78
#CD6CD0,13462736,False,#B4DC60,11852896,2.0
#CD6CD0,13462736,False,#DDE350,14541648,2.28
#CD6CD0,13462736,False,#F5CE80,16109184,2.1
#CD6CD0,13462736,False,#F3F8D0,15988944,2.87
#CD6CD0,13462736,False,#9B73C0,10187712,1.18
#CD6CD0,13462736,False,#AE2C70,11414640,1.95
#CD6CD0,13462736,False,#8B81B0,9142704,1.13
#CD6CD0,13462736,False,#8EA9A0,9349536,1.25
#CD6CD0,13462736,False,#B20510,11666704,2.27
#CD6CD0,13462736,False,#4443A0,4473760,2.6
#CD6CD0,13462736,False,#67A090,6791312,1.05
#CD6CD0,13462736,False,#58CB70,5819248,1.53
#CD6CD0,13462736,False,#79C910,7981328,1.52
#CD6CD0,13462736,False,#00EDC0,60864,2.08
#CD6CD0,13462736,False,#209730,2135856,1.2
#CD6CD0,13462736,False,#F798A0,16226464,1.49
#CD6CD0,13462736,False,#066D10,421136,2.07
#CD6CD0,13462736,False,#CA7130,13267248,1.12
#CD6CD0,13462736,False,#7DB480,8238208,1.3
#CD6CD0,13462736,False,#1B2F70,1781616,3.94
#95DC40,9821248,False,#DE8320,14582560,1.7
#95DC40,9821248,False,#D55360,13980512,2.4
#95DC40,9821248,False,#315880,3233920,4.43
#95DC40,9821248,False,#F409A0,15993248,2.33
#95DC40,9821248,False,#57A310,5743376,1.89
#95DC40,9821248,True,#1F1330,2036528,10.5
#95DC40,9821248,False,#1CD190,1888656,1.19
#95DC40,9821248,False,#8D5AF0,9263856,2.59
#95DC40,9821248,False,#04FC70,326768,1.2
#95DC40,9821248,False,#8BC760,9160544,1.2
