,bg,bg_num,compliant,fg,fg_num,ratio,new_ratio,new_fg
0,#CD6CD0,13462736,False,#DE8320,14582560,1.1,4.35,#2e5030
1,#CD6CD0,13462736,False,#D55360,13980512,1.27,4.11,#2e5030
2,#CD6CD0,13462736,False,#315880,3233920,2.34,6.65,#2e5030
3,#CD6CD0,13462736,False,#F409A0,15993248,1.23,5.0,#2e5030
4,#CD6CD0,13462736,False,#57A310,5743376,1.0,6.65,#2e5030
6,#CD6CD0,13462736,False,#1CD190,1888656,1.58,4.35,#2e5030
7,#CD6CD0,13462736,False,#8D5AF0,9263856,1.37,4.16,#2e5030
8,#CD6CD0,13462736,False,#04FC70,326768,2.27,3.18,#2e5030
9,#CD6CD0,13462736,False,#8BC760,9160544,1.56,2.65,#2e5030
10,#CD6CD0,13462736,False,#5E40D0,6176976,2.13,5.34,#2e5030
11,#CD6CD0,13462736,False,#A76490,10970256,1.36,4.69,#2e5030
12,#CD6CD0,13462736,False,#D9B500,14267648,1.58,5.14,#2e5030
13,#CD6CD0,13462736,False,#9DEC20,10349600,2.17,2.81,#2e5030
14,#CD6CD0,13462736,False,#337DB0,3374512,1.41,5.54,#2e5030
15,#CD6CD0,13462736,False,#D92EB0,14233264,1.33,4.8,#2e5030
16,#CD6CD0,13462736,False,#42A940,4368704,1.04,4.99,#2e5030
17,#CD6CD0,13462736,False,#0C4D60,806240,2.96,6.65,#2e5030
18,#CD6CD0,13462736,False,#902C90,9448592,2.25,6.51,#2e5030
19,#CD6CD0,13462736,False,#541980,5511552,3.63,6.65,#2e5030
20,#CD6CD0,13462736,False,#9DFBC0,10353600,2.55,1.71,#2e5030
21,#CD6CD0,13462736,False,#EC6600,15492608,1.02,5.04,#2e5030
22,#CD6CD0,13462736,False,#F8F1F0,16314864,2.83,1.02,#2e5030
23,#CD6CD0,13462736,False,#570840,5703744,4.39,6.65,#2e5030
24,#CD6CD0,13462736,False,#E179E0,14776800,1.2,2.54,#2e5030
25,#CD6CD0,13462736,False,#9F8BA0,10455968,1.0,3.61,#2e5030
26,#CD6CD0,13462736,False,#712B50,7416656,3.07,6.65,#2e5030
27,#CD6CD0,13462736,False,#EAE090,15392912,2.33,1.08,#2e5030
28,#CD6CD0,13462736,False,#F68E80,16158336,1.36,2.05,#2e5030
29,#CD6CD0,13462736,False,#BCF520,12383520,2.43,2.32,#2e5030
30,#CD6CD0,13462736,False,#E39010,14913552,1.24,4.52,#2e5030
31,#CD6CD0,13462736,False,#50F6A0,5306016,2.25,1.37,#2e5030
32,#CD6CD0,13462736,False,#164210,1458704,3.65,6.65,#2e5030
33,#CD6CD0,13462736,False,#23AEB0,2338480,1.16,5.64,#2e5030
34,#CD6CD0,13462736,False,#0B45C0,738752,2.53,6.34,#2e5030
35,#CD6CD0,13462736,False,#7A4690,8013456,2.14,6.07,#2e5030
36,#CD6CD0,13462736,False,#739940,7575872,1.04,5.58,#2e5030
37,#CD6CD0,13462736,False,#D430B0,13906096,1.37,4.89,#2e5030
38,#CD6CD0,13462736,False,#5928B0,5843120,2.82,6.21,#2e5030
39,#CD6CD0,13462736,False,#DEF280,14611072,2.57,1.24,#2e5030
40,#CD6CD0,13462736,False,#29B3E0,2733024,1.29,3.76,#2e5030
