,background,foreground,level,ratio,selector,type,site_id,url
0,#002d62,#1b1b1b,error,1.27,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div:nth-of-type(1) + div + div > div:nth-of-type(1) > div:nth-of-type(1) > nav#block-mainnavigationmobile-2 > h2#block-mainnavigationmobile-2-menu,contrast,0,https://www.irs.gov/
1,#002d62,#087591,error,2.55,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div:nth-of-type(1) + div + div > div:nth-of-type(1) > div:nth-of-type(1) > nav:nth-of-type(1) + div > div:nth-of-type(1) > form#views-exposed-form-pup-site-index-search-site-search-srt-relevance > div:nth-of-type(1) > div#edit-actions > button#edit-submit-pup-site-index-search,contrast,0,https://www.irs.gov/
2,#ffffff,#ffffff,error,1,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > h1:nth-of-type(1) + header + div + div > div:nth-of-type(1) > div:nth-of-type(1) > section:nth-of-type(1) > div:nth-of-type(1) > article#main-content > div:nth-of-type(1) > div:nth-of-type(1) + div + div + div > div:nth-of-type(1) > div#mobile-row > div:nth-of-type(1) > div:nth-of-type(1) > div:nth-of-type(1) > a:nth-of-type(1) > div:nth-of-type(1) > span:nth-of-type(1),contrast,0,https://www.irs.gov/
3,#ffffff,#ffffff,error,1,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > h1:nth-of-type(1) + header + div + div > div:nth-of-type(1) > div:nth-of-type(1) > section:nth-of-type(1) > div:nth-of-type(1) > article#main-content > div:nth-of-type(1) > div:nth-of-type(1) + div + div + div > div:nth-of-type(1) > div#mobile-row > div:nth-of-type(1) > div:nth-of-type(1) > div:nth-of-type(1) > a:nth-of-type(1) > div:nth-of-type(1) + div > div:nth-of-type(1),contrast,0,https://www.irs.gov/
4,,,error,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div:nth-of-type(1) + div > div:nth-of-type(1) > div:nth-of-type(1) > div:nth-of-type(1) + div > div:nth-of-type(1) > nav#block-pup-irs-informationmenu-2 > h2:nth-of-type(1) + ul > li:nth-of-type(1) + li + li > section#block-languageswitcher > div:nth-of-type(1) > button#languageswitcher,aria_reference_broken,0,https://www.irs.gov/
5,,,error,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div:nth-of-type(1) + div > div:nth-of-type(1) > div:nth-of-type(1) > div:nth-of-type(1) + div > div:nth-of-type(1) > nav#block-pup-irs-informationmenu-2 > h2:nth-of-type(1) + ul > li:nth-of-type(1) + li + li > section#block-languageswitcher > div:nth-of-type(1) > button:nth-of-type(1) + ul > li:nth-of-type(1) > a:nth-of-type(1),aria_reference_broken,0,https://www.irs.gov/
6,,,error,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div:nth-of-type(1) + div > div:nth-of-type(1) > div:nth-of-type(1) > div:nth-of-type(1) + div > div:nth-of-type(1) > nav#block-pup-irs-informationmenu-2 > h2:nth-of-type(1) + ul > li:nth-of-type(1) + li + li > section#block-languageswitcher > div:nth-of-type(1) > button:nth-of-type(1) + ul > li:nth-of-type(1) + li > a:nth-of-type(1),aria_reference_broken,0,https://www.irs.gov/
7,,,error,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div:nth-of-type(1) + div > div:nth-of-type(1) > div:nth-of-type(1) > div:nth-of-type(1) + div > div:nth-of-type(1) > nav#block-pup-irs-informationmenu-2 > h2:nth-of-type(1) + ul > li:nth-of-type(1) + li + li > section#block-languageswitcher > div:nth-of-type(1) > button:nth-of-type(1) + ul > li:nth-of-type(1) + li + li > a:nth-of-type(1),aria_reference_broken,0,https://www.irs.gov/
8,,,error,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div:nth-of-type(1) + div > div:nth-of-type(1) > div:nth-of-type(1) > div:nth-of-type(1) + div > div:nth-of-type(1) > nav#block-pup-irs-informationmenu-2 > h2:nth-of-type(1) + ul > li:nth-of-type(1) + li + li > section#block-languageswitcher > div:nth-of-type(1) > button:nth-of-type(1) + ul > li:nth-of-type(1) + li + li + li > a:nth-of-type(1),aria_reference_broken,0,https://www.irs.gov/
9,,,error,0,html > head:nth-of-type(1) + body > a:nth-of-type(1) + noscript + div + div > header#navbar > div:nth-of-type(1) + div > div:nth-of-type(1) > div:nth-of-type(1) > div:nth-of-type(1) + div > div:nth-of-type(1) > nav#block-pup-irs-informationmenu-2 > h2:nth-of-type(1) + ul > li:nth-of-type(1) + li + li > section#block-languageswitcher > div:nth-of-type(1) > button:nth-of-type(1) + ul > li:nth-of-type(1) + li + li + li + li > a:nth-of-type(1),aria_reference_broken,0,https://www.irs.gov/
